timestamp,user_id,ip_address,url,status_code,response_time_ms
2023-12-24 01:00:00,275,192.168.153.14,/products,500,1000
2023-08-02 05:00:00,714,192.168.208.49,/about,200,896
2023-08-18 13:00:00,560,192.168.207.104,/home,200,190
2023-11-03 05:00:00,351,192.168.84.214,/contact,500,270
2023-05-06 19:00:00,647,192.168.174.56,/about,200,293
2023-11-16 17:00:00,908,192.168.17.49,/products,200,361
2023-06-08 19:00:00,205,192.168.174.221,/contact,200,159
2023-02-28 05:00:00,720,192.168.120.46,/api/data,404,622
2023-03-05 18:00:00,730,192.168.1.223,/about,200,996
2023-11-06 21:00:00,289,192.168.95.228,/home,200,764
2023-01-23 02:00:00,780,192.168.135.228,/about,404,563
2023-08-27 12:00:00,973,192.168.63.56,/contact,200,332
2023-08-25 06:00:00,105,192.168.121.49,/api/data,200,159
2023-11-25 17:00:00,356,192.168.230.115,/about,200,637
2023-06-10 07:00:00,90,192.168.61.226,/contact,200,323
2023-12-14 19:00:00,669,192.168.38.199,/home,200,852
2023-07-17 17:00:00,233,192.168.81.56,/api/data,200,70
2023-11-08 06:00:00,161,192.168.199.152,/products,200,276
2023-02-10 11:00:00,525,192.168.123.147,/api/data,500,53
2023-06-18 02:00:00,352,192.168.70.254,/home,500,255
2023-01-06 05:00:00,919,192.168.153.116,/products,200,938
2023-06-26 09:00:00,164,192.168.250.212,/products,200,225
2023-03-26 07:00:00,64,192.168.8.101,/products,404,621
2023-12-09 03:00:00,905,192.168.144.28,/api/data,404,281
2023-01-04 22:00:00,668,192.168.216.52,/products,500,942
2023-12-25 01:00:00,84,192.168.72.179,/home,404,735
2023-06-10 04:00:00,602,192.168.14.73,/about,200,932
2023-12-16 01:00:00,286,192.168.227.50,/contact,200,153
2023-09-18 06:00:00,353,192.168.110.121,/home,404,357
2023-04-30 06:00:00,933,192.168.42.138,/about,200,398
2023-12-06 19:00:00,609,192.168.1.84,/home,200,153
2023-06-16 20:00:00,175,192.168.221.162,/products,200,161
2023-06-24 01:00:00,275,192.168.45.136,/about,404,169
2023-10-06 02:00:00,811,192.168.209.1,/contact,200,922
2023-10-27 13:00:00,73,192.168.97.162,/contact,404,422
2023-10-15 12:00:00,274,192.168.147.18,/contact,200,1000
2023-11-28 03:00:00,930,192.168.103.72,/home,404,471
2023-08-06 15:00:00,799,192.168.192.178,/products,500,504
2023-11-08 18:00:00,358,192.168.60.51,/products,200,127
2023-03-27 12:00:00,8,192.168.73.224,/contact,200,129
2023-09-13 18:00:00,150,192.168.218.117,/products,200,878
2023-03-15 16:00:00,645,192.168.17.90,/contact,200,684
2023-10-05 01:00:00,533,192.168.151.178,/about,500,994
2023-09-26 07:00:00,70,192.168.179.176,/home,200,851
2023-10-11 04:00:00,146,192.168.77.29,/about,200,333
2023-07-28 02:00:00,268,192.168.145.205,/api/data,200,73
2023-01-08 16:00:00,919,192.168.62.205,/contact,404,394
2023-06-05 03:00:00,166,192.168.216.64,/api/data,200,898
2023-07-04 17:00:00,138,192.168.24.42,/api/data,404,561
2023-05-19 03:00:00,322,192.168.48.157,/about,200,867
2023-10-22 18:00:00,986,192.168.126.22,/about,200,822
2023-04-07 20:00:00,462,192.168.129.78,/api/data,200,164
2023-09-26 10:00:00,328,192.168.154.12,/api/data,500,114
2023-02-27 02:00:00,302,192.168.52.86,/about,500,875
2023-10-07 07:00:00,929,192.168.170.78,/about,500,120
2023-05-28 13:00:00,753,192.168.7.72,/home,200,350
2023-03-17 11:00:00,115,192.168.129.121,/products,200,329
2023-02-14 20:00:00,363,192.168.88.41,/products,200,557
2023-02-20 06:00:00,291,192.168.122.51,/home,200,54
2023-04-18 11:00:00,719,192.168.62.85,/about,200,180
2023-02-27 05:00:00,209,192.168.148.185,/contact,200,576
2023-04-22 12:00:00,382,192.168.241.149,/products,200,652
2023-07-05 06:00:00,143,192.168.53.228,/home,200,760
2023-11-11 12:00:00,378,192.168.206.237,/about,200,718
2023-09-27 16:00:00,925,192.168.159.132,/api/data,200,188
2023-08-10 01:00:00,101,192.168.178.184,/about,200,233
2023-03-08 12:00:00,817,192.168.6.118,/contact,404,290
2023-05-23 06:00:00,651,192.168.23.144,/api/data,200,799
2023-12-12 10:00:00,864,192.168.104.172,/about,200,268
2023-02-23 16:00:00,63,192.168.123.81,/api/data,404,422
2023-11-28 23:00:00,375,192.168.63.160,/contact,200,342
2023-09-05 00:00:00,931,192.168.125.13,/home,200,168
2023-12-12 03:00:00,297,192.168.234.201,/api/data,200,79
2023-02-18 21:00:00,652,192.168.79.30,/contact,404,647
